"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @LovLikeJesus: Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing. -Mother Teresa",FALSE,0,NA,2017-10-20 16:15:07,FALSE,NA,"921409454268063744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iwantbieblovato",201,TRUE,FALSE,NA,NA
"RT @ACatholicPrayer: ""Let your love shine! """"Every act of love is a work of peace, no matter how small."""" Mother Teresa #quote""",FALSE,0,NA,2017-10-20 16:15:02,FALSE,NA,"921409432990507008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scottsirk",35,TRUE,FALSE,NA,NA
"RT @noconversion: Mother Teresa exposed by People working for her - Must Watch 
--
https://t.co/Kuh5CTCZKo",FALSE,0,NA,2017-10-20 16:14:42,FALSE,NA,"921409350995812353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitysinghh1",152,TRUE,FALSE,NA,NA
"Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing. -Mother Teresa",FALSE,0,NA,2017-10-20 16:14:00,FALSE,NA,"921409174088683520",NA,"<a href=""http://www.kucukbeyin.com/"" rel=""nofollow"">hdsfgasdfghsadgf</a>","RunningA_Quote",0,FALSE,FALSE,NA,NA
"""If you judge people, you have no time to love them."" - Mother Teresa #quoteoftheday",FALSE,0,NA,2017-10-20 16:13:13,FALSE,NA,"921408974439694337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SSStyleStudio",0,FALSE,FALSE,NA,NA
"RT @ACatholicPrayer: ""Let your love shine! """"Every act of love is a work of peace, no matter how small."""" Mother Teresa #quote""",FALSE,0,NA,2017-10-20 16:12:40,FALSE,NA,"921408836728229891",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flowerash",35,TRUE,FALSE,NA,NA
"Love, to be real , must cost, it must hurt, it must empty us of self..Mother Teresa.. #ALDUBxEBLoveis",FALSE,0,NA,2017-10-20 16:11:58,FALSE,NA,"921408659577384960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MariannidaB",0,FALSE,FALSE,NA,NA
"RT @INCIndia: Saint Mother Teresa started the Missionaries of Charity in Calcutta to care for the poor, the orphans and the ill. #ThisDayTh",FALSE,0,NA,2017-10-20 16:11:47,FALSE,NA,"921408614081822720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","supportjaisingh",429,TRUE,FALSE,NA,NA
"RT @alphabetsuccess: No color, no religion, no nationality should come between us, we are all children of God. - Mother Teresa #quote",FALSE,0,NA,2017-10-20 16:11:38,FALSE,NA,"921408578656854018",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kefcee_lee",82,TRUE,FALSE,NA,NA
"""Let us always meet each other with smile, for that smile is the beginning of love.""  Mother Teresa #FridayMotivation #love",FALSE,0,NA,2017-10-20 16:09:58,FALSE,NA,"921408160182784000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AIMbtown",0,FALSE,FALSE,NA,NA
