"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @jeandunn52: 'I was very comforted': gold star families recall receiving condolences from Obama https://t.co/YFYRD6SHCU",FALSE,0,NA,2017-10-21 17:51:43,FALSE,NA,"921796153087332359",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","antibigotry123",2,TRUE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:51:42,FALSE,NA,"921796147542478848",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Memphisbelle51",3965,TRUE,FALSE,NA,NA
"RT @RemoveRINOs2018: Barack Obama's Obscene Deficit Spending: 220 Years vs. 8 Years https://t.co/tVlQMgmQWg via @Doug_Giles #Treason destr",FALSE,0,NA,2017-10-21 17:51:35,FALSE,NA,"921796117888684032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FGSMiami",1,TRUE,FALSE,NA,NA
"RT @rolandsmartin: Anyone else here miss the class and grace of our most recent president? https://t.co/pYqgMsnSe0",FALSE,0,NA,2017-10-21 17:51:33,FALSE,NA,"921796111714672642",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","gallifreyanelmi",124,TRUE,FALSE,NA,NA
"RT @Impeach_D_Trump: Barack Obama Is Back and Reminding Us What a President Looks Like.

RT If You Hope to see more of this incredible man!",FALSE,0,NA,2017-10-21 17:51:31,FALSE,NA,"921796100708634624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","knudsen99",1549,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:51:28,FALSE,NA,"921796090717986816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cathykaku1",303,TRUE,FALSE,NA,NA
"@BarackObama seriously why doesn't Barack Obama just f****** shut the hell up? Nobody wants to hear his ghetto f****** philosophies!",FALSE,0,"BarackObama",2017-10-21 17:51:28,FALSE,NA,"921796088851349504","813286","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LarryAubrey2",0,FALSE,FALSE,NA,NA
"RT @TheRickyDavila: Barack Obama spoke in Virginia today. Watching him speak gave me the dosage of hope &amp; inspiration I needed. Enjoy.
ht",FALSE,0,NA,2017-10-21 17:51:27,FALSE,NA,"921796084078391297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlferezMaria",3371,TRUE,FALSE,NA,NA
"@cptamerica99 @ddeeb61 @Ginamarie0123 @CNNPolitics @realDonaldTrump DEMOCRATS BARACK OBAMA AND BILL CLINTON AND HUG https://t.co/JmGL61PkYp",FALSE,0,"cptamerica99",2017-10-21 17:51:24,TRUE,"921101352335564800","921796072514744321","67087662","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cloudydaynine1",0,FALSE,FALSE,NA,NA
"RT @LouDobbs: Bush &amp; Obama hate #AmericaFirst, wasted Trillions $, killed Millions of jobs.  https://t.co/lyGsCflRX1  #MAGA @realDonaldTrum",FALSE,0,NA,2017-10-21 17:51:21,FALSE,NA,"921796059340427266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","704Livin",2773,TRUE,FALSE,NA,NA
